,total_trials,left_image,right_image,encoding_duration,resp,correct,correct_responses
0,1,target1.png,innocent1.png,0.4,right,0,0
1,2,target2.png,innocent2.png,1.5,left,1,1
2,3,innocent3.png,target3.png,0.4,right,1,2
3,4,innocent4.png,target4.png,0.4,right,1,3
4,5,innocent5.png,target5.png,0.4,left,0,3
5,6,innocent6.png,target6.png,1.5,right,1,4
6,7,target7.png,innocent7.png,1.5,left,1,5
7,8,innocent8.png,target8.png,1.5,right,1,6
8,9,target9.png,innocent9.png,1.5,left,1,7
9,10,target10.png,innocent10.png,0.4,left,1,8
10,11,target11.png,innocent11.png,1.5,right,0,8
11,12,innocent12.png,target12.png,0.4,right,1,9
12,13,innocent13.png,target13.png,0.4,right,1,10
13,14,target14.png,innocent14.png,1.5,right,0,10
14,15,target15.png,innocent15.png,0.4,left,1,11
15,16,target16.png,innocent16.png,0.4,left,1,12
16,17,innocent17.png,target17.png,1.5,right,1,13
17,18,innocent18.png,target18.png,1.5,right,1,14
18,19,target19.png,innocent19.png,0.4,left,1,15
19,20,innocent20.png,target20.png,1.5,right,1,16
20,21,target21.png,innocent21.png,0.4,right,0,16
21,22,target22.png,innocent22.png,1.5,left,1,17
22,23,target23.png,innocent23.png,0.4,left,1,18
23,24,innocent24.png,target24.png,0.4,right,1,19
24,25,target25.png,innocent25.png,0.4,left,1,20
25,26,innocent26.png,target26.png,1.5,right,1,21
26,27,innocent27.png,target27.png,1.5,left,0,21
27,28,innocent28.png,target28.png,0.4,right,1,22
28,29,target29.png,innocent29.png,1.5,right,0,22
29,30,innocent30.png,target30.png,0.4,right,1,23
