trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instructions.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text.started,image_2.started,key_resp_3.started,key_resp_3.keys,text_5.started,polygon.started,text_2.started,text_3.started,image_3.started,image_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,encoding_image,encoding_duration,image.started,image.stopped,fixation.started,fixation.stopped,trial_number,correct_position,left.started,right.started,key_resp.started,correct,response,total_trials,correct_responses,key_resp.keys,key_resp.rt,fixation_2.started,fixation_2.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,17.657032940071076,17.657032940071076,space,7.336629917961545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
,,,,,,,,25.04567968507763,25.04567968507763,25.04567968507763,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
,,,,,,,,,,,,30.064565239008516,30.064565239008516,35.044065040070564,43.02598926401697,43.02598926401697,43.02598926401697,43.02598926401697,left,3.929042275995016,,,,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,46.99772950599436,46.99772950599436,space,2.626695320941508,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,suspect1.png,0.5,49.66308040707372,50.157849464099854,50.157849464099854,60.16902192402631,0,left,60.16902192402631,60.16902192402631,60.16902192402631,True,left,1,1,left,1.7469088539946824,61.93642045604065,63.94410779501777,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,suspect2.png,1.5,63.94410779501777,65.44075403804891,65.44075403804891,75.44668762106448,1,left,75.44668762106448,75.44668762106448,75.44668762106448,False,right,2,1,right,2.500153862987645,77.95992282498628,79.96697097807191,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,suspect3.png,0.5,79.96697097807191,80.4649945429992,80.4649945429992,90.4698237850098,2,right,90.4698237850098,90.4698237850098,90.4698237850098,True,right,3,2,right,4.581305607920513,95.07222879305482,97.07573143707123,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,suspect4.png,0.5,97.07573143707123,97.57330696110148,97.57330696110148,107.59073204209562,3,right,107.59073204209562,107.59073204209562,107.59073204209562,False,left,4,2,left,2.338652358856052,109.94247254310176,111.94976071105339,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,suspect5.png,0.5,111.94976071105339,112.44727162108757,112.44727162108757,122.45107130799443,4,right,122.45107130799443,122.45107130799443,122.45107130799443,True,right,5,3,right,1.8220378259429708,124.29216576809995,126.29871879599523,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,suspect6.png,1.5,126.29871879599523,127.797855790006,127.797855790006,137.80489312298596,5,right,137.80489312298596,137.80489312298596,137.80489312298596,True,right,6,4,right,3.5335734939435497,141.3513066000305,143.3591185430996,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,suspect7.png,1.5,143.3591185430996,144.8561325169867,144.8561325169867,154.8685350510059,6,left,154.8685350510059,154.8685350510059,154.8685350510059,True,left,7,5,left,4.825896734953858,159.70873036410194,161.7146960340906,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,suspect8.png,1.5,161.7146960340906,163.21319842303637,163.21319842303637,173.21887817105744,7,right,173.21887817105744,173.21887817105744,173.21887817105744,True,right,8,6,right,3.4247709149494767,176.6587651760783,178.66322224901523,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,suspect9.png,1.5,178.66322224901523,180.1552236850839,180.1552236850839,190.15918189298827,8,left,190.15918189298827,190.15918189298827,190.15918189298827,False,right,9,6,right,2.6030609459849074,192.77966861100867,194.78387485898566,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,suspect10.png,0.5,194.78387485898566,195.27901805599686,195.27901805599686,205.28460493509192,9,left,205.28460493509192,205.28460493509192,205.28460493509192,False,right,10,6,right,3.9425702448934317,209.23878828401212,211.24170117708854,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,suspect11.png,1.5,211.24170117708854,212.73778371803928,212.73778371803928,222.73863341007382,10,left,222.73863341007382,222.73863341007382,222.73863341007382,False,right,11,6,right,4.750945477979258,227.5004876999883,229.50471455499064,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
11,0,11,0,,,,,,,,,,,,,,,,,,,,,,suspect12.png,0.5,229.50471455499064,230.00361263006926,230.00361263006926,240.01862857409287,11,right,240.01862857409287,240.01862857409287,240.01862857409287,True,right,12,7,right,3.236738449893892,243.2733636390185,245.28186541609466,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
12,0,12,0,,,,,,,,,,,,,,,,,,,,,,suspect13.png,0.5,245.28186541609466,245.77792656200472,245.77792656200472,255.7867766560521,12,right,255.7867766560521,255.7867766560521,255.7867766560521,True,right,13,8,right,1.8636018839897588,257.66547129000537,259.6732250250643,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
13,0,13,0,,,,,,,,,,,,,,,,,,,,,,suspect14.png,1.5,259.6732250250643,261.16973472898826,261.16973472898826,271.17515267804265,13,left,271.17515267804265,271.17515267804265,271.17515267804265,True,left,14,9,left,5.653646794031374,276.8447151409928,278.84584779909346,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
14,0,14,0,,,,,,,,,,,,,,,,,,,,,,suspect15.png,0.5,278.84584779909346,279.34450799704064,279.34450799704064,289.35020411305595,14,left,289.35020411305595,289.35020411305595,289.35020411305595,True,left,15,10,left,1.904335731989704,291.27069682907313,293.27991525107063,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
15,0,15,0,,,,,,,,,,,,,,,,,,,,,,suspect16.png,0.5,293.27991525107063,293.77882819098886,293.77882819098886,303.7917223490076,15,left,303.7917223490076,303.7917223490076,303.7917223490076,False,right,16,10,right,1.88644391996786,305.6981646959903,307.70496188499965,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
16,0,16,0,,,,,,,,,,,,,,,,,,,,,,suspect17.png,1.5,307.70496188499965,309.20249271101784,309.20249271101784,319.2184039900312,16,right,319.2184039900312,319.2184039900312,319.2184039900312,True,right,17,11,right,2.6081704309908673,321.84358241199516,323.8456275369972,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
17,0,17,0,,,,,,,,,,,,,,,,,,,,,,suspect18.png,1.5,323.8456275369972,325.343600310036,325.343600310036,335.3499235290801,17,right,335.3499235290801,335.3499235290801,335.3499235290801,True,right,18,12,right,3.9596132619772106,339.3212205560412,341.3275266630808,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
18,0,18,0,,,,,,,,,,,,,,,,,,,,,,suspect19.png,0.5,341.3275266630808,341.8268072330393,341.8268072330393,351.83330017502885,18,left,351.83330017502885,351.83330017502885,351.83330017502885,True,left,19,13,left,5.361858409945853,357.21361068298575,359.22136708709877,,,cody,001,2024-11-22_07h28.06.974,eyewitness,2022.2.1,None,
