trial_loop.thisRepN,trial_loop.thisTrialN,trial_loop.thisN,trial_loop.thisIndex,instructions.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text.started,image_2.started,key_resp_3.started,key_resp_3.keys,text_5.started,polygon.started,text_2.started,text_3.started,image_3.started,image_4.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_4.started,key_resp_5.started,key_resp_5.keys,key_resp_5.rt,text_7.started,encoding_image,encoding_duration,image.started,image.stopped,fixation.started,fixation.stopped,trial_number,correct_position,left.started,right.started,key_resp.started,correct,response,total_trials,correct_responses,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,31.120661542052403,31.120661542052403,space,3.768028474994935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
,,,,,,,,34.9429361440707,34.9429361440707,34.9429361440707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
,,,,,,,,,,,,39.93907054606825,39.93907054606825,44.932022452005185,52.92692330502905,52.92692330502905,52.92692330502905,52.92692330502905,left,3.738578950986266,,,,,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
,,,,,,,,,,,,,,,,,,,,,56.708276898018084,56.708276898018084,space,4.8981200330890715,,,,,,,,,,,,,,,,,,,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,61.62498547497671,suspect1.png,0.5,64.16620718699414,64.67367376806214,64.67367376806214,74.68813900800887,0,left,74.68813900800887,74.68813900800887,74.68813900800887,True,left,1,1,left,4.746373975998722,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,79.45218372298405,suspect2.png,1.5,81.95901375205722,83.46415996504948,83.46415996504948,93.47660386399366,1,left,93.47660386399366,93.47660386399366,93.47660386399366,True,left,2,2,left,2.624333682935685,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,96.14137435005978,suspect3.png,0.5,98.63976856402587,99.13955431000795,99.13955431000795,109.15235171304084,2,right,109.15235171304084,109.15235171304084,109.15235171304084,True,right,3,3,right,3.7647558499593288,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
3,0,3,0,,,,,,,,,,,,,,,,,,,,,,112.93953978107311,suspect4.png,0.5,115.4483160560485,115.95597708097193,115.95597708097193,125.98165397997946,3,right,125.98165397997946,125.98165397997946,125.98165397997946,True,right,4,4,right,4.252691942034289,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
4,0,4,0,,,,,,,,,,,,,,,,,,,,,,130.2552335120272,suspect5.png,0.5,132.79804491705727,133.30564425699413,133.30564425699413,143.31821625400335,4,right,143.31821625400335,143.31821625400335,143.31821625400335,True,right,5,5,right,3.1670922019984573,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
5,0,5,0,,,,,,,,,,,,,,,,,,,,,,146.5118986100424,suspect6.png,1.5,149.02247171499766,150.53002609696705,150.53002609696705,,5,right,160.55038461997174,160.55038461997174,160.55038461997174,True,right,6,6,right,2.2445613029412925,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
6,0,6,0,,,,,,,,,,,,,,,,,,,,,,162.81715488398913,suspect7.png,1.5,165.32186771801207,166.82120737608057,166.82120737608057,176.8353302089963,6,left,176.8353302089963,176.8353302089963,176.8353302089963,True,left,7,7,left,2.001499250996858,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
7,0,7,0,,,,,,,,,,,,,,,,,,,,,,178.86294432997238,suspect8.png,1.5,181.3716226060642,182.8795862380648,182.8795862380648,192.89068676996976,7,right,192.89068676996976,192.89068676996976,192.89068676996976,True,right,8,8,right,5.916174541926011,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
8,0,8,0,,,,,,,,,,,,,,,,,,,,,,198.8290076230187,suspect9.png,1.5,201.33356473804452,202.83613706403412,202.83613706403412,212.85025731904898,8,left,212.85025731904898,212.85025731904898,212.85025731904898,True,left,9,9,left,4.3907079310156405,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
9,0,9,0,,,,,,,,,,,,,,,,,,,,,,217.26612479100004,suspect10.png,0.5,219.772351593012,220.27785266004503,220.27785266004503,,9,left,230.29380031698383,230.29380031698383,230.29380031698383,True,left,10,10,left,2.409804261988029,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
10,0,10,0,,,,,,,,,,,,,,,,,,,,,,232.72537068102974,suspect11.png,1.5,235.24688324797899,236.75227454002015,236.75227454002015,246.76645705802366,10,left,246.76645705802366,246.76645705802366,246.76645705802366,False,right,11,10,right,4.375819999957457,cody,001,2024-11-22_07h45.43.487,eyewitness,2022.2.1,120.19730340291902,
,,,,,,,,,,,,,,,,,,,,,,,,,251.15835981804412,suspect12.png,0.5,253.6666543490719,254.1696117790416,254.1696117790416,264.18521471403074,11,right,264.18521471403074,264.18521471403074,264.18521471403074,,,,,,,,,,,,,
